['127.0.0.1/test']
# Stats from 127.0.0.1/test
# [n], [mean], [std.], [min], [max]
1, 13.68, 6.884, 4.116, 34.832
2, 33.593, 12.418, 5.127, 76.644
3, 50.849, 18.099, 5.708, 114.785
4, 71.896, 21.22, 12.189, 147.684
5, 91.977, 25.15, 6.526, 186.613
6, 111.849, 24.163, 10.918, 204.249
7, 131.879, 27.513, 39.269, 219.978
8, 153.527, 29.217, 15.316, 268.484
9, 176.482, 30.345, 29.899, 315.78
10, 197.719, 30.447, 18.751, 309.514
11, 215.723, 30.8, 46.546, 317.762
12, 238.45, 32.57, 41.727, 348.78
13, 258.135, 35.12, 37.667, 433.001
14, 280.049, 35.397, 11.848, 398.565
15, 302.383, 39.852, 8.218, 489.532
16, 323.741, 37.182, 83.275, 459.738
17, 344.998, 40.375, 40.106, 521.294
18, 364.827, 39.708, 93.371, 511.712
19, 392.228, 44.833, 16.572, 544.146
20, 407.66, 43.635, 40.12, 525.519
