['127.0.0.1:/test3']
# Stats from 127.0.0.1:/test3
# [n], [mean], [std.], [min], [max]
1, 138.782, 123.354, 3.142, 499.444
2, 207.035, 177.018, 3.282, 992.066
3, 272.535, 230.939, 3.388, 995.46
4, 327.928, 259.718, 3.181, 997.89
5, 349.808, 270.251, 3.168, 998.635
6, 376.666, 289.602, 3.328, 999.514
7, 405.448, 302.082, 3.329, 999.41
8, 422.25, 286.232, 3.318, 999.31
9, 426.583, 294.686, 3.435, 998.549
10, 412.781, 292.625, 3.383, 999.573
11, 445.202, 295.481, 3.433, 999.47
12, 458.172, 303.566, 3.521, 998.377
13, 419.606, 299.755, 3.329, 999.16
14, 442.998, 299.784, 3.224, 998.773
15, 438.298, 305.309, 3.445, 999.225
16, 417.027, 302.977, 3.467, 999.5
17, 455.02, 303.297, 3.704, 999.073
18, 452.285, 306.808, 3.362, 999.967
19, 475.908, 305.179, 3.636, 999.451
20, 504.156, 303.561, 3.778, 999.921
